rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license
3.5,no,aldfly,1 (mono),2013-05-25,Not specified,25,XC134874.mp3,Not specified,Alder Flycatcher,Not specified,XC134874 Alder Flycatcher (Empidonax alnorum),"['Empidonax minimus_Least Flycatcher', 'Leiothlypis peregrina_Tennessee Warbler', 'Dumetella carolinensis_Gray Catbird', 'Spizella pusilla_Field Sparrow']",yes,Empidonax alnorum," Grey Cloud Dunes SNA, Washington, Minnesota",44.793,48000 (Hz),call,220 m,"Two short segments of fairly quiet *pip* calls (at 0:01.2, 0:07.5, etc) from a migrant bird foraging in scrub at edge of the prairie.  Also a more emphatic call at the end of the first segment (0:18.6) as it was taking flight.

Recorded with homemade parabolic reflector.",192000 (bps),mp3,Not specified,American Yellow Warbler (Setophaga aestiva); Least Flycatcher (Empidonax minimus); Tennessee Warbler (Leiothlypis peregrina); Grey Catbird (Dumetella carolinensis); Field Sparrow (Spizella pusilla),134874,https://www.xeno-canto.org/134874,United States,Jonathon Jongsma,Empidonax alnorum_Alder Flycatcher,-92.962,Not specified,8:00,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-05-27,both,36,XC135454.mp3,both,Alder Flycatcher,1-3,XC135454 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Carver's Gap Parking area, Roan Mountain State Park, North Carolina",36.1065,44100 (Hz),"call, song",1700 m,At least three birds seen here moving around some stunted alders and Fraser Firs. img:http://www.flickr.com/photos/madbirder/8884100252/in/photostream/,128000 (bps),mp3,level,,135454,https://www.xeno-canto.org/135454,United States,Mike Nelson,Empidonax alnorum_Alder Flycatcher,-82.1106,0-3(s),08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-05-27,both,39,XC135455.mp3,both,Alder Flycatcher,1-3,XC135455 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Carver's Gap Parking area, Roan Mountain State Park, North Carolina",36.1065,44100 (Hz),"call, song",1700 m,At least three birds seen chasing each other around stunted alders and Fraser Firs. img:http://www.flickr.com/photos/madbirder/8884100252/in/photostream/,128000 (bps),mp3,level,,135455,https://www.xeno-canto.org/135455,United States,Mike Nelson,Empidonax alnorum_Alder Flycatcher,-82.1106,0-3(s),08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,no,aldfly,2 (stereo),2013-05-27,both,33,XC135456.mp3,both,Alder Flycatcher,1-3,XC135456 Alder Flycatcher (Empidonax alnorum),"['Dumetella carolinensis_Gray Catbird', 'Bombycilla cedrorum_Cedar Waxwing']",yes,Empidonax alnorum," Carver's Gap Parking area, Roan Mountain State Park, North Carolina",36.1065,44100 (Hz),"call, song",1700 m,img:http://www.flickr.com/photos/madbirder/8884100252/in/photostream/,128000 (bps),mp3,level,Grey Catbird (Dumetella carolinensis); Cedar Waxwing (Bombycilla cedrorum),135456,https://www.xeno-canto.org/135456,United States,Mike Nelson,Empidonax alnorum_Alder Flycatcher,-82.1106,0-3(s),08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-05-27,both,36,XC135457.mp3,level,Alder Flycatcher,1-3,XC135457 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Carver's Gap Parking area, Roan Mountain State Park, North Carolina",36.1065,44100 (Hz),"call, song",1700 m,img:http://www.flickr.com/photos/madbirder/8884100252/in/photostream/,128000 (bps),mp3,level,,135457,https://www.xeno-canto.org/135457,United States,Mike Nelson,Empidonax alnorum_Alder Flycatcher,-82.1106,0-3(s),08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-05-27,Not specified,7,XC135459.mp3,Not specified,Alder Flycatcher,Not specified,XC135459 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Carver's Gap Parking area, Roan Mountain State Park, North Carolina",36.1065,44100 (Hz),"call, song",1700 m,img:http://www.flickr.com/photos/madbirder/8884102384/,128000 (bps),mp3,Not specified,,135459,https://www.xeno-canto.org/135459,United States,Mike Nelson,Empidonax alnorum_Alder Flycatcher,-82.1106,Not specified,08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-05-27,Not specified,45,XC135460.mp3,Not specified,Alder Flycatcher,Not specified,XC135460 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Carver's Gap Parking area, Roan Mountain State Park, North Carolina",36.1065,44100 (Hz),"call, song",1700 m,img:http://www.flickr.com/photos/madbirder/8884102384/,128000 (bps),mp3,Not specified,,135460,https://www.xeno-canto.org/135460,United States,Mike Nelson,Empidonax alnorum_Alder Flycatcher,-82.1106,Not specified,10:00,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,no,aldfly,2 (stereo),2013-05-30,increasing,71,XC135883.mp3,level,Alder Flycatcher,1-3,XC135883 Alder Flycatcher (Empidonax alnorum),"['Geothlypis trichas_Common Yellowthroat', 'Dumetella carolinensis_Gray Catbird', 'Vireo olivaceus_Red-eyed Vireo', 'Troglodytes aedon_House Wren']",yes,Empidonax alnorum," Scales, near Wilson Creek, Grayson, Virginia",36.65,44100 (Hz),song,1400 m,"Habitat:open canopy, wet meadow/shrub bog, bird singing from perch in medium height tree",320000 (bps),mp3,increasing,Common Yellowthroat (Geothlypis trichas); Grey Catbird (Dumetella carolinensis); Red-eyed Vireo (Vireo olivaceus); House Wren (Troglodytes aedon),135883,https://www.xeno-canto.org/135883,United States,Guy McGrane,Empidonax alnorum_Alder Flycatcher,-81.4814,0-3(s),10:30,Guy McGrane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-06-02,both,26,XC137570.mp3,accelerating,Alder Flycatcher,4-6,XC137570 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Parc national des Hautes-Gorges-de-la-Rivière-Malbaie, Charlevoix-Est, Québec",47.8534,44100 (Hz),"alarm call, song",220 m,"Adult singing from the top of an alder, then giving an alarm call and flying away. Another silent individual was present but stayed hidden. Habitat: small marsh, shrubland and mature mixed forest.",128000 (bps),mp3,level,,137570,https://www.xeno-canto.org/137570,Canada,Martin St-Michel,Empidonax alnorum_Alder Flycatcher,-70.42,0-3(s),07:03,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,no,aldfly,1 (mono),2013-06-16,Not specified,54,XC138639.mp3,Not specified,Alder Flycatcher,Not specified,XC138639 Alder Flycatcher (Empidonax alnorum),"['Setophaga virens_Black-throated Green Warbler', 'Turdus migratorius_American Robin', 'Setophaga ruticilla_American Redstart']",yes,Empidonax alnorum," Gooseberry Falls State Park, Lake, Minnesota",47.1406,48000 (Hz),call,220 m,"Call/song consisting of just the last portion of the typical song.  Foraging in wet alder/willow thicket.

Quite a bit of noise from nearby highway, High-pass filter below 2kHz.  Recorded with Olympus LS-10S and Sennheiser ME66.",192000 (bps),mp3,Not specified,Black-throated Green Warbler (Setophaga virens); American Robin (Turdus migratorius); American Redstart (Setophaga ruticilla),138639,https://www.xeno-canto.org/138639,United States,Jonathon Jongsma,Empidonax alnorum_Alder Flycatcher,-91.4698,Not specified,06:24,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
